step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
100000,22.806095827358973,37.64677711006056,35.586625008094416,33.2073349878185,-21.215726906285305,0.44290238879668276,31.0,9.0,1.4403726746373953,4.484583325292226,0.775,33.56051063124755
200000,92.18120945544942,47.809073852205096,104.69502273922298,31.20447952802177,-20.44311009851264,0.04981385503511523,36.0,4.0,0.12674982063576304,0.1451277931155383,0.9,68.49613400836732
300000,118.27547688185886,23.091944376490687,118.27547688185886,23.091944376490687,nan,nan,40.0,0.0,0.06145723771841962,0.03740509542025203,1.0,82.1626412832695
400000,83.66804839275142,72.97128909981221,134.0366399617052,9.08089152688757,-20.943641788921816,0.10058164153874022,27.0,13.0,0.24257297501317227,0.2968699650069575,0.675,69.00549061063464
500000,140.9537680999277,6.736696660602928,140.9537680999277,6.736696660602928,nan,nan,40.0,0.0,0.022028236508030936,0.014360694300629842,1.0,105.91377383398026
600000,-7.11394473029574,48.4920235715139,109.71062481324975,56.66763133275132,-23.803168950802238,0.6435254469791123,5.0,35.0,6.583688569776328,11.6483051139665,0.125,18.324134054753223
700000,144.11036768385176,1.6911572075848256,144.11036768385176,1.6911572075848256,nan,nan,40.0,0.0,0.014606163090716943,0.007922361291141815,1.0,109.96550953668513
800000,144.38781385461496,2.4230693349347767,144.38781385461496,2.4230693349347767,nan,nan,40.0,0.0,0.011599823788040323,0.006476833912733571,1.0,109.17794951467802
900000,143.32316914681573,3.4161508841429225,143.32316914681573,3.4161508841429225,nan,nan,40.0,0.0,0.015305410394054747,0.00958626959000392,1.0,108.3592721836048
1000000,141.88245563985953,4.469737056446943,141.88245563985953,4.469737056446943,nan,nan,40.0,0.0,0.0218675520978985,0.009221586473012603,1.0,106.72968681277234
