method,pc_index,explained_variance,cumulative_variance,effective_dof_95
zero_padded,1,0.5098151653892851,0.5098151653892851,6
zero_padded,2,0.21822489626770777,0.7280400616569929,6
zero_padded,3,0.14289139958710328,0.8709314612440962,6
zero_padded,4,0.0366662131370807,0.9075976743811769,6
zero_padded,5,0.023263623788208426,0.9308612981693853,6
zero_padded,6,0.020155458474897376,0.9510167566442828,6
zero_padded,7,0.013777091020401857,0.9647938476646846,6
zero_padded,8,0.011047992959693293,0.9758418406243778,6
zero_padded,9,0.009653780460088574,0.9854956210844664,6
zero_padded,10,0.006368295261703632,0.9918639163461701,6
zero_padded,11,0.00487537450134265,0.9967392908475128,6
zero_padded,12,0.0032607091524874646,1.0000000000000002,6
truncated,1,0.3733790429162387,0.3733790429162387,7
truncated,2,0.2804650488130518,0.6538440917292905,7
truncated,3,0.17911809259801167,0.8329621843273022,7
truncated,4,0.046986359306035376,0.8799485436333375,7
truncated,5,0.029407418438410052,0.9093559620717476,7
truncated,6,0.02652058095780243,0.93587654302955,7
truncated,7,0.01877536127063888,0.9546519043001889,7
truncated,8,0.014097859418757,0.9687497637189458,7
truncated,9,0.012352370273685388,0.9811021339926312,7
truncated,10,0.00859606332503612,0.9896981973176674,7
truncated,11,0.006749381144810581,0.996447578462478,7
truncated,12,0.0035524215375220625,1.0,7
