step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
40000,-4.113105874478533,15.497937438991784,4.227621551434656,12.311031741747795,-20.79456072630491,0.16966300652616692,10.0,5.0,0.8576801414461505,0.48159253580119826,0.6666666666666666,15.124028952083924
80000,46.940777386411725,46.03604457062363,63.850473928528636,34.92066934617087,-20.698008782055894,0.13291077543636431,12.0,3.0,0.39317927787048984,0.5132885862000527,0.8,44.53309262474415
120000,65.13106179014045,32.45322934873278,65.13106179014045,32.45322934873278,nan,nan,15.0,0.0,0.1582912938026988,0.06501610581042849,1.0,56.66526848179568
160000,71.77574377199322,41.8994509870034,78.40566152746295,34.951742151432384,-21.043104804583002,0.0,14.0,1.0,0.2295916459967323,0.3799854977394507,0.9333333333333333,59.02400787541892
200000,110.99531594505687,28.667693652678203,110.99531594505687,28.667693652678203,nan,nan,15.0,0.0,0.07103690399897726,0.04683876779857346,1.0,79.77741085540016
240000,129.92838897328593,11.658985922870187,129.92838897328593,11.658985922870187,nan,nan,15.0,0.0,0.041890308162927076,0.022165608143258943,1.0,88.38732697745986
280000,132.22878013223945,11.164746328636424,132.22878013223945,11.164746328636424,nan,nan,15.0,0.0,0.03956062658320469,0.019546646320192512,1.0,94.82443445500596
320000,138.80338935230165,8.42678529067762,138.80338935230165,8.42678529067762,nan,nan,15.0,0.0,0.02612689592543162,0.016446362779945347,1.0,101.34785727391385
360000,100.16277289588365,61.18848785246444,119.15103566372281,40.197973825911205,-23.26093509507081,0.1349113710694212,13.0,2.0,0.19496012990636727,0.31620314445334347,0.8666666666666667,75.98767492989691
400000,130.19085797811178,40.35775014703163,130.19085797811178,40.35775014703163,nan,nan,15.0,0.0,0.12599097578573182,0.3818839143058983,1.0,98.32805189345619
